ensembl_gene_id	external_gene_name	description
ENSRNOG00000020255	Sars1	seryl-tRNA synthetase 1 [Source:RGD Symbol;Acc:628813]
ENSRNOG00000062977	LOC120103588	WW domain-binding protein 11-like [Source:RGD Symbol;Acc:41008008]
ENSRNOG00000055093	Cep43	centrosomal protein 43 [Source:RGD Symbol;Acc:1583370]
ENSRNOG00000012258	Rras2	RAS related 2 [Source:RGD Symbol;Acc:1310793]
ENSRNOG00000020466	Apba3	amyloid beta precursor protein binding family A member 3 [Source:RGD Symbol;Acc:620846]
ENSRNOG00000006901	Ndufa7	NADH:ubiquinone oxidoreductase subunit A7 [Source:RGD Symbol;Acc:1304597]
ENSRNOG00000064204	Lpar3	lysophosphatidic acid receptor 3 [Source:RGD Symbol;Acc:620565]
ENSRNOG00000069032	LOC120093819	apolipoprotein L3-like [Source:RGD Symbol;Acc:41279919]
ENSRNOG00000014305	Fbxo42	F-box protein 42 [Source:RGD Symbol;Acc:1304787]
ENSRNOG00000024338	C6h2orf50	similar to human chromosome 2 open reading frame 50 [Source:RGD Symbol;Acc:1582838]
ENSRNOG00000008696	Nopchap1	NOP protein chaperone 1 [Source:RGD Symbol;Acc:1563365]
ENSRNOG00000005576	Rpia	ribose 5-phosphate isomerase A [Source:RGD Symbol;Acc:1311377]
ENSRNOG00000038720	Cdkl1	cyclin dependent kinase like 1 [Source:RGD Symbol;Acc:1305080]
ENSRNOG00000017564	Mib2	MIB E3 ubiquitin protein ligase 2 [Source:RGD Symbol;Acc:1359469]
ENSRNOG00000056219	Olr1	oxidized low density lipoprotein receptor 1 [Source:RGD Symbol;Acc:620515]
ENSRNOG00000005034	Arhgef25	Rho guanine nucleotide exchange factor 25 [Source:RGD Symbol;Acc:735210]
ENSRNOG00000013959	Skor1	SKI family transcriptional corepressor 1 [Source:RGD Symbol;Acc:1307687]
ENSRNOG00000051619	Asb2	ankyrin repeat and SOCS box-containing 2 [Source:RGD Symbol;Acc:1306414]
ENSRNOG00000067119	Smim17	small integral membrane protein 17 [Source:RGD Symbol;Acc:1559613]
ENSRNOG00000015274	Ddx20	DEAD-box helicase 20 [Source:RGD Symbol;Acc:621744]
ENSRNOG00000019476	Agap1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:RGD Symbol;Acc:1309244]
ENSRNOG00000066547	Usp17l8	ubiquitin specific peptidase 17 like family member 8 [Source:RGD Symbol;Acc:1588758]
ENSRNOG00000060879	C7h12orf75	similar to human chromosome 12 open reading frame 75 [Source:RGD Symbol;Acc:6495714]
ENSRNOG00000006972	Zfp189	zinc finger protein 189 [Source:RGD Symbol;Acc:1306510]
ENSRNOG00000013783	Efhd2	EF-hand domain family, member D2 [Source:RGD Symbol;Acc:1307585]
ENSRNOG00000068725	LOC120093820	uncharacterized LOC120093820 [Source:RGD Symbol;Acc:41340728]
ENSRNOG00000004110	Trib2	tribbles pseudokinase 2 [Source:RGD Symbol;Acc:1564451]
ENSRNOG00000032420	AC108595.1	NULL
ENSRNOG00000025037	Ankk1	ankyrin repeat and kinase domain containing 1 [Source:RGD Symbol;Acc:1305538]
ENSRNOG00000005628	Hoxa1	homeobox A1 [Source:RGD Symbol;Acc:11414885]
ENSRNOG00000053188	AABR07051565.1	NULL
ENSRNOG00000022812	Ercc5	ERCC excision repair 5, endonuclease [Source:RGD Symbol;Acc:1586176]
ENSRNOG00000020950	Syvn1	synoviolin 1 [Source:RGD Symbol;Acc:1310488]
ENSRNOG00000022967	Slc35d1	solute carrier family 35 member D1 [Source:RGD Symbol;Acc:1309843]
ENSRNOG00000058647	AABR07056470.1	NULL
ENSRNOG00000015962	Nmnat1	nicotinamide nucleotide adenylyltransferase 1 [Source:RGD Symbol;Acc:1310996]
ENSRNOG00000013201	Tex264	testis expressed 264 [Source:RGD Symbol;Acc:1359353]
ENSRNOG00000043197	Smim45	small integral membrane protein 45 [Source:RGD Symbol;Acc:1586487]
ENSRNOG00000023122	Apol11a	apolipoprotein L11a [Source:RGD Symbol;Acc:1309798]
ENSRNOG00000012749	C1qb	complement C1q B chain [Source:RGD Symbol;Acc:2229]
ENSRNOG00000017744	Dram2	DNA damage regulated autophagy modulator 2 [Source:RGD Symbol;Acc:1564099]
ENSRNOG00000004216	Lrr1	leucine rich repeat protein 1 [Source:RGD Symbol;Acc:1589026]
ENSRNOG00000029028	Mknk2	MAPK interacting serine/threonine kinase 2 [Source:RGD Symbol;Acc:1305728]
ENSRNOG00000025297	Gpr171	G protein-coupled receptor 171 [Source:RGD Symbol;Acc:1585271]
ENSRNOG00000009772	Kirrel3	kirre like nephrin family adhesion molecule 3 [Source:RGD Symbol;Acc:1311382]
ENSRNOG00000005424	Odc1	ornithine decarboxylase 1 [Source:RGD Symbol;Acc:3227]
ENSRNOG00000007178	Cd8a	CD8 subunit alpha [Source:RGD Symbol;Acc:2316]
ENSRNOG00000020525	Col5a3	collagen type V alpha 3 chain [Source:RGD Symbol;Acc:70922]
ENSRNOG00000038166	Ptgr2	prostaglandin reductase 2 [Source:RGD Symbol;Acc:1310518]
ENSRNOG00000009046	Phf13	PHD finger protein 13 [Source:RGD Symbol;Acc:1308145]
ENSRNOG00000067417	LOC102552424	uncharacterized LOC102552424 [Source:RGD Symbol;Acc:7747383]
ENSRNOG00000013413	Rorb	RAR-related orphan receptor B [Source:RGD Symbol;Acc:1306778]
ENSRNOG00000005362	Rab3ip	RAB3A interacting protein [Source:RGD Symbol;Acc:620650]
ENSRNOG00000026976	LOC108348097	vomeronasal type-2 receptor 116-like [Source:RGD Symbol;Acc:11482623]
ENSRNOG00000042018	Glal	gliadoralin-A like [Source:RGD Symbol;Acc:1306750]
ENSRNOG00000021727	Or10ab5	olfactory receptor family 10 subfamily AB member 5 [Source:RGD Symbol;Acc:1592197]
ENSRNOG00000010359	Bik	BCL2-interacting killer [Source:RGD Symbol;Acc:621547]
ENSRNOG00000005129	Dtx3	deltex E3 ubiquitin ligase 3 [Source:RGD Symbol;Acc:1566181]
ENSRNOG00000064982	LOC120102213	uncharacterized LOC120102213 [Source:RGD Symbol;Acc:41353109]
ENSRNOG00000057061	Hoxa13	homeo box A13 [Source:RGD Symbol;Acc:1562483]
ENSRNOG00000050539	Fbln5	fibulin 5 [Source:RGD Symbol;Acc:2594]
ENSRNOG00000033522	Prdm2	PR/SET domain 2 [Source:RGD Symbol;Acc:1594531]
ENSRNOG00000012959	Nab1	Ngfi-A binding protein 1 [Source:RGD Symbol;Acc:70882]
ENSRNOG00000021182	Sv2a	synaptic vesicle glycoprotein 2a [Source:RGD Symbol;Acc:619715]
ENSRNOG00000033579	Glt8d2	glycosyltransferase 8 domain containing 2 [Source:RGD Symbol;Acc:1560432]
ENSRNOG00000017477	Mmp23	matrix metallopeptidase 23 [Source:RGD Symbol;Acc:620201]
ENSRNOG00000015718	C8h3orf18	similar to human chromosome 3 open reading frame 18 [Source:RGD Symbol;Acc:1307461]
ENSRNOG00000042771	Apol3l1	apolipoprotein L3 like 1 [Source:RGD Symbol;Acc:1306480]
ENSRNOG00000058653	Tmem52b	transmembrane protein 52B [Source:RGD Symbol;Acc:1586337]
ENSRNOG00000071139	Or52n2	olfactory receptor family 52 subfamily N member 2 [Source:RGD Symbol;Acc:1332903]
ENSRNOG00000008953	AABR07049353.1	NULL
ENSRNOG00000007654	Lrig3	leucine-rich repeats and immunoglobulin-like domains 3 [Source:RGD Symbol;Acc:1561255]
ENSRNOG00000001804	Itpr2	inositol 1,4,5-trisphosphate receptor, type 2 [Source:RGD Symbol;Acc:69649]
ENSRNOG00000015328	AABR07060577.1	NULL
ENSRNOG00000014637	Atxn10	ataxin 10 [Source:RGD Symbol;Acc:621813]
ENSRNOG00000009184	Foxp1	forkhead box P1 [Source:RGD Symbol;Acc:1308669]
ENSRNOG00000070422	Cstf2t	cleavage stimulation factor subunit 2, tau variant [Source:RGD Symbol;Acc:1310026]
ENSRNOG00000016200	Lzic	leucine zipper and CTNNBIP1 domain containing [Source:RGD Symbol;Acc:1309253]
ENSRNOG00000022932	Serhl2	serine hydrolase-like 2 [Source:RGD Symbol;Acc:1563386]
ENSRNOG00000060853	Iah1	isoamyl acetate hydrolyzing esterase 1 [Source:RGD Symbol;Acc:727866]
ENSRNOG00000070107	Or7e174	olfactory receptor family 7 subfamily E member 174 [Source:RGD Symbol;Acc:1332873]
ENSRNOG00000055734	Tas2r122l-ps1	taste receptor, type 2, member 122 like, pseudogene 1 [Source:RGD Symbol;Acc:2323698]
ENSRNOG00000033503	Ldlrad2	low density lipoprotein receptor class A domain containing 2 [Source:RGD Symbol;Acc:1564888]
ENSRNOG00000021355	Car6	carbonic anhydrase 6 [Source:RGD Symbol;Acc:70516]
ENSRNOG00000019592	Iqca1	IQ motif containing with AAA domain 1 [Source:RGD Symbol;Acc:1305311]
ENSRNOG00000059771	LOC108350669	uncharacterized LOC108350669 [Source:RGD Symbol;Acc:11407309]
ENSRNOG00000012502	Stk17b	serine/threonine kinase 17b [Source:RGD Symbol;Acc:620457]
ENSRNOG00000063336	Or5p76b	olfactory receptor family 5 subfamily P member 76B [Source:RGD Symbol;Acc:1332675]
ENSRNOG00000007468	Ifng	interferon gamma [Source:RGD Symbol;Acc:2866]
ENSRNOG00000012457	Cyc1	cytochrome c-1 [Source:RGD Symbol;Acc:1306597]
ENSRNOG00000042634	Serpina12	serpin family A member 12 [Source:RGD Symbol;Acc:708485]
ENSRNOG00000053362	Gabarapl1	GABA type A receptor associated protein like 1 [Source:RGD Symbol;Acc:1596143]
ENSRNOG00000029826	Cep164	centrosomal protein 164 [Source:RGD Symbol;Acc:1561243]
ENSRNOG00000010332	Nipsnap3b	nipsnap homolog 3B [Source:RGD Symbol;Acc:1359688]
ENSRNOG00000067548	Or52n2f	olfactory receptor family 52 subfamily N member 2F [Source:RGD Symbol;Acc:1334393]
ENSRNOG00000033981	Pate2	prostate and testis expressed 2 [Source:RGD Symbol;Acc:2320100]
ENSRNOG00000030225	Clpx	caseinolytic mitochondrial matrix peptidase chaperone subunit X [Source:RGD Symbol;Acc:1304883]
ENSRNOG00000008063	Hibadh	3-hydroxyisobutyrate dehydrogenase [Source:RGD Symbol;Acc:708399]
ENSRNOG00000004476	Wif1	Wnt inhibitory factor 1 [Source:RGD Symbol;Acc:619774]
ENSRNOG00000027124	Tdg	thymine-DNA glycosylase [Source:RGD Symbol;Acc:620959]
ENSRNOG00000015124	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial [Source:RGD Symbol;Acc:61847]
ENSRNOG00000009889	Pgm1	phosphoglucomutase 1 [Source:RGD Symbol;Acc:3316]
ENSRNOG00000070602	Or7e176	olfactory receptor family 7 subfamily E member 176 [Source:RGD Symbol;Acc:1334291]
ENSRNOG00000010309	Nfyb	nuclear transcription factor Y subunit beta [Source:RGD Symbol;Acc:3172]
ENSRNOG00000069535	Or52n2b	olfactory receptor family 52 subfamily N member 2B [Source:RGD Symbol;Acc:1332599]
ENSRNOG00000021814	Tnfrsf25	TNF receptor superfamily member 25 [Source:RGD Symbol;Acc:1598206]
ENSRNOG00000020416	Zfr2	zinc finger RNA binding protein 2 [Source:RGD Symbol;Acc:1304737]
ENSRNOG00000007821	Dyrk2	dual specificity tyrosine phosphorylation regulated kinase 2 [Source:RGD Symbol;Acc:1312039]
ENSRNOG00000022896	Rrp7a	ribosomal RNA processing 7 homolog A [Source:RGD Symbol;Acc:1311547]
ENSRNOG00000068073	Or5p76	olfactory receptor family 5 subfamily P member 76 [Source:RGD Symbol;Acc:1332769]
ENSRNOG00000048441	Wdr82	WD repeat domain 82 [Source:RGD Symbol;Acc:1584269]
ENSRNOG00000070930	Hilpda	hypoxia inducible lipid droplet-associated [Source:RGD Symbol;Acc:2319900]
ENSRNOG00000004754	Tc2n	tandem C2 domains, nuclear [Source:RGD Symbol;Acc:1563876]
ENSRNOG00000020562	Slc22a18	solute carrier family 22, member 18 [Source:RGD Symbol;Acc:1303323]
ENSRNOG00000062401	Igkvl-ps2	immunoglobulin kappa variable like, pseudogene 2 [Source:RGD Symbol;Acc:11458713]
ENSRNOG00000007504	Actr10	actin related protein 10 [Source:RGD Symbol;Acc:1306515]
ENSRNOG00000004996	Zcrb1	zinc finger CCHC-type and RNA binding motif containing 1 [Source:RGD Symbol;Acc:1309851]
ENSRNOG00000066194	Or5p81b	olfactory receptor family 5 subfamily P member 81B [Source:RGD Symbol;Acc:2323421]
ENSRNOG00000009955	Plch1	phospholipase C, eta 1 [Source:RGD Symbol;Acc:1561991]
ENSRNOG00000047782	Apol7bl1	apolipoprotein L7b like 1 [Source:RGD Symbol;Acc:1309808]
ENSRNOG00000010985	Zfp410	zinc finger protein 410 [Source:RGD Symbol;Acc:1305636]
ENSRNOG00000010643	Kank2	KN motif and ankyrin repeat domains 2 [Source:RGD Symbol;Acc:2320289]
ENSRNOG00000030210	Fndc1	fibronectin type III domain containing 1 [Source:RGD Symbol;Acc:1310640]
ENSRNOG00000018895	Mchr1	melanin-concentrating hormone receptor 1 [Source:RGD Symbol;Acc:619841]
ENSRNOG00000031515	Klra2	killer cell lectin-like receptor, subfamily A, member 2 [Source:RGD Symbol;Acc:1359667]
ENSRNOG00000011317	Pkn2	protein kinase N2 [Source:RGD Symbol;Acc:620146]
ENSRNOG00000010718	Gpr153	G protein-coupled receptor 153 [Source:RGD Symbol;Acc:1564170]
ENSRNOG00000004229	Tac3	tachykinin precursor 3 [Source:RGD Symbol;Acc:3809]
ENSRNOG00000005578	Zbtb44	zinc finger and BTB domain containing 44 [Source:RGD Symbol;Acc:1308984]
ENSRNOG00000050810	AABR07064048.1	NULL
ENSRNOG00000004312	Tmbim4	transmembrane BAX inhibitor motif containing 4 [Source:RGD Symbol;Acc:735173]
ENSRNOG00000013602	Usp48	ubiquitin specific peptidase 48 [Source:RGD Symbol;Acc:735213]
ENSRNOG00000028082	Tal2	TAL bHLH transcription factor 2 [Source:RGD Symbol;Acc:1596467]
ENSRNOG00000008885	Chst11	carbohydrate sulfotransferase 11 [Source:RGD Symbol;Acc:1308400]
ENSRNOG00000024707	Tp73	tumor protein p73 [Source:RGD Symbol;Acc:1307083]
ENSRNOG00000018494	Ppp1r3c	protein phosphatase 1, regulatory subunit 3C [Source:RGD Symbol;Acc:1309132]
ENSRNOG00000004496	Rock2	Rho-associated coiled-coil containing protein kinase 2 [Source:RGD Symbol;Acc:3590]
ENSRNOG00000065915	Or52e15	olfactory receptor family 52 subfamily E member 15 [Source:RGD Symbol;Acc:1334060]
ENSRNOG00000004306	Zbtb39	zinc finger and BTB domain containing 39 [Source:RGD Symbol;Acc:1306532]
ENSRNOG00000042065	Iqcf6	IQ motif containing F6 [Source:RGD Symbol;Acc:1562645]
ENSRNOG00000015133	Kmt2a	lysine methyltransferase 2A [Source:RGD Symbol;Acc:1586165]
ENSRNOG00000049407	Shisa8	shisa family member 8 [Source:RGD Symbol;Acc:1563996]
ENSRNOG00000063465	Or5e1	olfactory receptor family 5 subfamily E member 1 [Source:RGD Symbol;Acc:1588967]
ENSRNOG00000004316	Llph-ps1	LLP homolog, long-term synaptic facilitation factor, pseudogene 1 [Source:RGD Symbol;Acc:6489824]
ENSRNOG00000059195	AABR07060591.1	NULL
ENSRNOG00000008713	Slc41a2	solute carrier family 41 member 2 [Source:RGD Symbol;Acc:1307292]
ENSRNOG00000014065	Zfp653	zinc finger protein 653 [Source:RGD Symbol;Acc:1308754]
ENSRNOG00000004823	Dock4	dedicator of cytokinesis 4 [Source:RGD Symbol;Acc:1561724]
ENSRNOG00000024239	Fam89b	family with sequence similarity 89, member B [Source:RGD Symbol;Acc:1311544]
ENSRNOG00000067299	LOC120102487	uncharacterized LOC120102487 [Source:RGD Symbol;Acc:41397436]
ENSRNOG00000049600	Pate1	prostate and testis expressed 1 [Source:RGD Symbol;Acc:2319716]
ENSRNOG00000004517	Igf1	insulin-like growth factor 1 [Source:RGD Symbol;Acc:2868]
ENSRNOG00000004311	Gpr182	G protein-coupled receptor 182 [Source:RGD Symbol;Acc:61903]
ENSRNOG00000009198	Rab6b	RAB6B, member RAS oncogene family [Source:RGD Symbol;Acc:1309958]
ENSRNOG00000007365	Il22	interleukin 22 [Source:RGD Symbol;Acc:1561292]
ENSRNOG00000008481	Reep1	receptor accessory protein 1 [Source:RGD Symbol;Acc:1305230]
ENSRNOG00000069148	Or52e15b	olfactory receptor family 52 subfamily E member 15B [Source:RGD Symbol;Acc:1333770]
ENSRNOG00000016866	Fhl2	four and a half LIM domains 2 [Source:RGD Symbol;Acc:61963]
ENSRNOG00000021007	Snx15	sorting nexin 15 [Source:RGD Symbol;Acc:1305803]
ENSRNOG00000011112	Fam161b	FAM161 centrosomal protein B [Source:RGD Symbol;Acc:1309058]
ENSRNOG00000019648	Col6a3	collagen type VI alpha 3 chain [Source:RGD Symbol;Acc:1308704]
ENSRNOG00000025372	Glce	glucuronic acid epimerase [Source:RGD Symbol;Acc:1565253]
ENSRNOG00000012812	Sharpin	SHANK-associated RH domain interactor [Source:RGD Symbol;Acc:631353]
ENSRNOG00000009585	Tcf20	transcription factor 20 [Source:RGD Symbol;Acc:1594486]
ENSRNOG00000069937	Or10a48	olfactory receptor family 10 subfamily A member 48B [Source:RGD Symbol;Acc:1334387]
ENSRNOG00000014128	Ecsit	ECSIT signaling integrator [Source:RGD Symbol;Acc:1359488]
ENSRNOG00000010316	Magohb	mago homolog B, exon junction complex subunit [Source:RGD Symbol;Acc:1597384]
ENSRNOG00000012736	Znrd2	zinc ribbon domain containing 2 [Source:RGD Symbol;Acc:1593467]
ENSRNOG00000007575	Plppr1	phospholipid phosphatase related 1 [Source:RGD Symbol;Acc:1303116]
ENSRNOG00000016725	Elp1	elongator acetyltransferase complex subunit 1 [Source:RGD Symbol;Acc:620072]
ENSRNOG00000004362	Rps6ka5	ribosomal protein S6 kinase A5 [Source:RGD Symbol;Acc:1308336]
ENSRNOG00000019377	Amh	anti-Mullerian hormone [Source:RGD Symbol;Acc:2108]
ENSRNOG00000007230	Kank3	KN motif and ankyrin repeat domains 3 [Source:RGD Symbol;Acc:1308853]
ENSRNOG00000027423	Or52e15c	olfactory receptor family 52 subfamily E member 15C [Source:RGD Symbol;Acc:1333157]
ENSRNOG00000037115	Chi3l3	chitinase 3-like 3 [Source:RGD Symbol;Acc:1308790]
ENSRNOG00000024026	Pate5	prostate and testis expressed 5 [Source:RGD Symbol;Acc:2318904]
ENSRNOG00000017693	Slc2a5	solute carrier family 2 member 5 [Source:RGD Symbol;Acc:68328]
ENSRNOG00000022778	Pphln1	periphilin 1 [Source:RGD Symbol;Acc:1306207]
ENSRNOG00000007834	Cand1	cullin-associated and neddylation-dissociated 1 [Source:RGD Symbol;Acc:620479]
ENSRNOG00000010537	Dis3l	DIS3-like exosome 3'-5' exoribonuclease [Source:RGD Symbol;Acc:1308959]
ENSRNOG00000014805	Wrap73	WD repeat containing, antisense to TP73 [Source:RGD Symbol;Acc:1359137]
ENSRNOG00000033271	AABR07048271.1	NULL
ENSRNOG00000006327	Rcc2	regulator of chromosome condensation 2 [Source:RGD Symbol;Acc:1309986]
ENSRNOG00000008393	Tax1bp1	Tax1 binding protein 1 [Source:RGD Symbol;Acc:708579]
ENSRNOG00000011582	Rab3d	RAB3D, member RAS oncogene family [Source:RGD Symbol;Acc:620924]
ENSRNOG00000029651	Rdh16	retinol dehydrogenase 16 [Source:RGD Symbol;Acc:735050]
ENSRNOG00000070111	Apol2	apolipoprotein L2 [Source:RGD Symbol;Acc:1309591]
ENSRNOG00000011164	Coq6	coenzyme Q6 monooxygenase [Source:RGD Symbol;Acc:1311149]
ENSRNOG00000022877	Poldip3	DNA polymerase delta interacting protein 3 [Source:RGD Symbol;Acc:1311073]
ENSRNOG00000019349	Sf3a2	splicing factor 3A subunit 2 [Source:RGD Symbol;Acc:1308627]
ENSRNOG00000030625	Tf	transferrin [Source:RGD Symbol;Acc:3845]
ENSRNOG00000010347	Styk1	serine/threonine/tyrosine kinase 1 [Source:RGD Symbol;Acc:1564211]
ENSRNOG00000060694	Adam17	ADAM metallopeptidase domain 17 [Source:RGD Symbol;Acc:620404]
ENSRNOG00000016502	Dscaml1	DS cell adhesion molecule-like 1 [Source:RGD Symbol;Acc:1304887]
ENSRNOG00000069151	Mup4-ps1	major urinary protein 4, pseudogene 1 [Source:RGD Symbol;Acc:11403548]
ENSRNOG00000015137	Spata6l	spermatogenesis associated 6-like [Source:RGD Symbol;Acc:1310039]
ENSRNOG00000024562	Tgfbrap1	transforming growth factor, beta receptor associated protein 1 [Source:RGD Symbol;Acc:1310772]
ENSRNOG00000010230	Dennd10	DENN domain containing 10 [Source:RGD Symbol;Acc:1308326]
ENSRNOG00000058003	Spon1	spondin 1 [Source:RGD Symbol;Acc:619918]
ENSRNOG00000026793	Nt5dc3	5'-nucleotidase domain containing 3 [Source:RGD Symbol;Acc:1593358]
ENSRNOG00000067058	LOC120093108	dehydrogenase/reductase SDR family member 7-like [Source:RGD Symbol;Acc:41343659]
ENSRNOG00000067911	LOC108350703	uncharacterized LOC108350703 [Source:RGD Symbol;Acc:11424934]
ENSRNOG00000023965	Arhgef38	Rho guanine nucleotide exchange factor 38 [Source:RGD Symbol;Acc:1311728]
ENSRNOG00000014719	Snx19	sorting nexin 19 [Source:RGD Symbol;Acc:1309857]
ENSRNOG00000025979	Gramd2a	GRAM domain containing 2A [Source:RGD Symbol;Acc:1564007]
ENSRNOG00000051912	Acnat2	acyl-coenzyme A amino acid N-acyltransferase 2 [Source:RGD Symbol;Acc:1359532]
ENSRNOG00000017401	Tmco4	transmembrane and coiled-coil domains 4 [Source:RGD Symbol;Acc:1566357]
ENSRNOG00000010532	Abitram	actin binding transcription modulator [Source:RGD Symbol;Acc:1594560]
ENSRNOG00000013514	Maf1	MAF1 homolog, negative regulator of RNA polymerase III [Source:RGD Symbol;Acc:1359315]
ENSRNOG00000022296	Pnpla5	patatin-like phospholipase domain containing 5 [Source:RGD Symbol;Acc:1307495]
ENSRNOG00000068422	LOC120102268	uncharacterized LOC120102268 [Source:RGD Symbol;Acc:41162112]
ENSRNOG00000054259	Klf11	KLF transcription factor 11 [Source:RGD Symbol;Acc:1306646]
ENSRNOG00000046214	Cyp27b1	cytochrome P450, family 27, subfamily b, polypeptide 1 [Source:RGD Symbol;Acc:69192]
ENSRNOG00000031824	Slc44a2	solute carrier family 44 member 2 [Source:RGD Symbol;Acc:1309680]
ENSRNOG00000064989	Tmem11	transmembrane protein 11 [Source:RGD Symbol;Acc:1309817]
ENSRNOG00000006296	Six6	SIX homeobox 6 [Source:RGD Symbol;Acc:1310497]
ENSRNOG00000015743	Rfpl4a	ret finger protein-like 4A [Source:RGD Symbol;Acc:1307409]
ENSRNOG00000033206	Entpd5	ectonucleoside triphosphate diphosphohydrolase 5 [Source:RGD Symbol;Acc:735219]
ENSRNOG00000020980	Ms4a4c-ps1	membrane-spanning 4-domains, subfamily A, member 4C, pseudogene 1 [Source:RGD Symbol;Acc:1590996]
ENSRNOG00000005905	Pde4b	phosphodiesterase 4B [Source:RGD Symbol;Acc:3280]
ENSRNOG00000056446	Endou	endonuclease, poly(U)-specific [Source:RGD Symbol;Acc:1593011]
ENSRNOG00000051164	AABR07048473.1	NULL
ENSRNOG00000053510	Hcfc2	host cell factor C2 [Source:RGD Symbol;Acc:1307385]
ENSRNOG00000008443	Fam234b	family with sequence similarity 234, member B [Source:RGD Symbol;Acc:1306151]
ENSRNOG00000006281	Hoxa3	homeobox A3 [Source:RGD Symbol;Acc:1561431]
ENSRNOG00000021899	Tmem115	transmembrane protein 115 [Source:RGD Symbol;Acc:1310540]
ENSRNOG00000012748	Vamp8	vesicle-associated membrane protein 8 [Source:RGD Symbol;Acc:620421]
ENSRNOG00000049218	Pate10	prostate and testis expressed 10 [Source:RGD Symbol;Acc:2323120]
ENSRNOG00000013508	Rpl31	ribosomal protein L31 [Source:RGD Symbol;Acc:621202]
ENSRNOG00000006304	Mdm2	MDM2 proto-oncogene [Source:RGD Symbol;Acc:1305332]
ENSRNOG00000010539	Mcat	malonyl-CoA-acyl carrier protein transacylase [Source:RGD Symbol;Acc:1306698]
ENSRNOG00000024712	Insc	INSC, spindle orientation adaptor protein [Source:RGD Symbol;Acc:1311379]
ENSRNOG00000016156	Nptxr	neuronal pentraxin receptor [Source:RGD Symbol;Acc:628898]
ENSRNOG00000019048	Sod2	superoxide dismutase 2 [Source:RGD Symbol;Acc:3732]
ENSRNOG00000015671	Tectb	tectorin beta [Source:RGD Symbol;Acc:1305835]
ENSRNOG00000011970	Tmem82	transmembrane protein 82 [Source:RGD Symbol;Acc:1566169]
ENSRNOG00000046227	Tprg1l	tumor protein p63 regulated 1-like [Source:RGD Symbol;Acc:1590079]
ENSRNOG00000032546	Dot1l	DOT1 like histone lysine methyltransferase [Source:RGD Symbol;Acc:1306644]
ENSRNOG00000063302	Aph1bl2	aph-1 homolog B, gamma secretase subunit like 2 [Source:RGD Symbol;Acc:1597236]
ENSRNOG00000019754	Gdap2	ganglioside-induced differentiation-associated-protein 2 [Source:RGD Symbol;Acc:1306050]
ENSRNOG00000012364	Prickle2	prickle planar cell polarity protein 2 [Source:RGD Symbol;Acc:1306723]
ENSRNOG00000024967	Uqcrbl1	ubiquinol-cytochrome c reductase binding protein like 1 [Source:RGD Symbol;Acc:1592552]
ENSRNOG00000005589	Dhrs7	dehydrogenase/reductase 7 [Source:RGD Symbol;Acc:1565002]
ENSRNOG00000027365	Hoxa4	homeo box A4 [Source:RGD Symbol;Acc:2814]
ENSRNOG00000070114	Pate4	prostate and testis expressed 4 [Source:RGD Symbol;Acc:1311172]
ENSRNOG00000025046	AABR07058366.1	NULL
ENSRNOG00000019622	Ackr3	atypical chemokine receptor 3 [Source:RGD Symbol;Acc:620601]
ENSRNOG00000005126	Slc66a3	solute carrier family 66 member 3 [Source:RGD Symbol;Acc:1306818]
ENSRNOG00000013798	Fnbp1l	formin binding protein 1-like [Source:RGD Symbol;Acc:1305386]
ENSRNOG00000021887	Cyb561d2	cytochrome b561 family, member D2 [Source:RGD Symbol;Acc:1359644]
ENSRNOG00000053942	Pramef20	PRAME family member 20 [Source:RGD Symbol;Acc:1587437]
ENSRNOG00000013593	Upk3a	uroplakin 3A [Source:RGD Symbol;Acc:1310633]
ENSRNOG00000064294	Mdfic2	MyoD family inhibitor domain containing 2 [Source:RGD Symbol;Acc:2323009]
ENSRNOG00000047951	Hoxa5	homeo box A5 [Source:RGD Symbol;Acc:620609]
ENSRNOG00000039445	Pate6l	prostate and testis expressed 6 like [Source:RGD Symbol;Acc:2324568]
ENSRNOG00000004492	Mterf3	mitochondrial transcription termination factor 3 [Source:RGD Symbol;Acc:735158]
ENSRNOG00000008890	Slc18a2	solute carrier family 18 member A2 [Source:RGD Symbol;Acc:3694]
ENSRNOG00000054624	AC096792.1	mucin 19, oligomeric [Source:RGD Symbol;Acc:1624205]
ENSRNOG00000025648	Dhrs7l1	dehydrogenase/reductase (SDR family) member 7-like 1 [Source:RGD Symbol;Acc:1308036]
ENSRNOG00000003813	Kcnk10	potassium two pore domain channel subfamily K member 10 [Source:RGD Symbol;Acc:619732]
ENSRNOG00000029862	Spc24	SPC24 component of NDC80 kinetochore complex [Source:RGD Symbol;Acc:1307631]
ENSRNOG00000013583	Tbc1d8	TBC1 domain family, member 8 [Source:RGD Symbol;Acc:1595491]
ENSRNOG00000005353	LOC120102351	RING1 and YY1 binding protein [Source:RGD Symbol;Acc:40980164]
ENSRNOG00000006069	Eif2ak3	eukaryotic translation initiation factor 2 alpha kinase 3 [Source:RGD Symbol;Acc:70884]
ENSRNOG00000067077	Aph1bl1	aph-1 homolog B, gamma secretase subunit like 1 [Source:RGD Symbol;Acc:41103414]
ENSRNOG00000053013	AABR07049466.1	NULL
