ensembl_gene_id	external_gene_name	description
ENSRNOG00000063945	Mir6317	microRNA mir-6317-1 [Source:RGD Symbol;Acc:149736501]
ENSRNOG00000056110	Or8k25	olfactory receptor family 8 subfamily K member 25 [Source:RGD Symbol;Acc:1334278]
ENSRNOG00000028721	Otor	otoraplin [Source:RGD Symbol;Acc:1305253]
ENSRNOG00000067832	Ndrg3l1	NDRG family member 3 like 1 [Source:RGD Symbol;Acc:41400309]
ENSRNOG00000066101	Misfa	mitochondrial sheath formation associated [Source:RGD Symbol;Acc:6491878]
ENSRNOG00000057261	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RGD Symbol;Acc:15010874]
ENSRNOG00000063217	Raet1ll1	retinoic acid early transcript 1L like 1 [Source:RGD Symbol;Acc:1583663]
ENSRNOG00000064622	LOC108350428	uncharacterized LOC108350428 [Source:RGD Symbol;Acc:11484255]
ENSRNOG00000036631	Ptgdr2	prostaglandin D2 receptor 2 [Source:RGD Symbol;Acc:1311986]
ENSRNOG00000066494	LOC120100331	small nucleolar RNA SNORD116 [Source:RGD Symbol;Acc:41396804]
ENSRNOG00000016659	Habp2	hyaluronan binding protein 2 [Source:RGD Symbol;Acc:1302979]
ENSRNOG00000059820	LOC120100360	small nucleolar RNA SNORA4 [Source:RGD Symbol;Acc:41255502]
ENSRNOG00000049846	Mir344g	microRNA 344g [Source:RGD Symbol;Acc:7489017]
ENSRNOG00000014946	AABR07005588.1	THUMP domain containing 1 [Source:RGD Symbol;Acc:1308854]
ENSRNOG00000009468	Il12a	interleukin 12A [Source:RGD Symbol;Acc:620562]
ENSRNOG00000065570	LOC120100463	small nucleolar RNA SNORA40 [Source:RGD Symbol;Acc:41105862]
ENSRNOG00000069752	LOC102547360	uncharacterized LOC102547360 [Source:RGD Symbol;Acc:7567660]
ENSRNOG00000069390	Smokyl-ps1	sperm motility kinase Y like, pseudogene 1 [Source:RGD Symbol;Acc:41288670]
ENSRNOG00000020318	Pnkp	polynucleotide kinase 3'-phosphatase [Source:RGD Symbol;Acc:1303331]
ENSRNOG00000047406	Cfap90	cilia and flagella associated protein 90 [Source:RGD Symbol;Acc:1308544]
ENSRNOG00000009135	1700109H08Rikl	RIKEN cDNA 1700109H08 gene like [Source:RGD Symbol;Acc:1588445]
ENSRNOG00000050445	Gde1	glycerophosphodiester phosphodiesterase 1 [Source:RGD Symbol;Acc:621788]
ENSRNOG00000067778	Or8k40	olfactory receptor family 8 subfamily K member 40 [Source:RGD Symbol;Acc:1333259]
ENSRNOG00000069614	LOC120100327	small nucleolar RNA SNORD116 [Source:RGD Symbol;Acc:41077533]
ENSRNOG00000069896	Rnu6-968	RNA, U6 small nuclear 968 [Source:RGD Symbol;Acc:41346041]
ENSRNOG00000035565	Mir330	microRNA 330 [Source:RGD Symbol;Acc:2325620]
ENSRNOG00000031110	Or51f4	olfactory receptor family 51 subfamily F member 4 [Source:RGD Symbol;Acc:1333228]
ENSRNOG00000010628	Sec13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:RGD Symbol;Acc:1359555]
ENSRNOG00000058224	RNaseP_nuc	Nuclear RNase P [Source:RGD Symbol;Acc:15011620]
ENSRNOG00000022491	Wdr76	WD repeat domain 76 [Source:RGD Symbol;Acc:1309616]
ENSRNOG00000051199	Fsip2	fibrous sheath-interacting protein 2 [Source:RGD Symbol;Acc:1593013]
ENSRNOG00000016597	AABR07006081.1	NULL
ENSRNOG00000064367	LOC120100237	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41335386]
ENSRNOG00000064092	LOC120100155	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41322932]
ENSRNOG00000064252	LOC102553736	uncharacterized LOC102553736 [Source:RGD Symbol;Acc:7678070]
ENSRNOG00000067132	Mir344i	microRNA 344i [Source:RGD Symbol;Acc:7489023]
ENSRNOG00000068454	LOC120100121	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41246900]
ENSRNOG00000028095	Lcn6	lipocalin 6 [Source:RGD Symbol;Acc:1302986]
ENSRNOG00000018953	Cblc	Cbl proto-oncogene C [Source:RGD Symbol;Acc:1307651]
ENSRNOG00000062564	LOC120098765	histocompatibility antigen 60b-like [Source:RGD Symbol;Acc:41176714]
ENSRNOG00000018940	Slc28a1	solute carrier family 28 member 1 [Source:RGD Symbol;Acc:621223]
ENSRNOG00000052649	AABR07008309.1	NULL
ENSRNOG00000013945	Itpkc	inositol-trisphosphate 3-kinase C [Source:RGD Symbol;Acc:631336]
ENSRNOG00000068368	LOC120100464	small nucleolar RNA SNORA40 [Source:RGD Symbol;Acc:41136282]
ENSRNOG00000070203	LOC120100293	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:40953491]
ENSRNOG00000065397	Rnu6-856	RNA, U6 small nuclear 856 [Source:RGD Symbol;Acc:41041613]
ENSRNOG00000040447	Mir708	microRNA 708 [Source:RGD Symbol;Acc:2325357]
ENSRNOG00000033706	Klk14	kallikrein related-peptidase 14 [Source:RGD Symbol;Acc:1308606]
ENSRNOG00000031947	Rpl36l3	ribosomal protein L36 like 3 [Source:RGD Symbol;Acc:2320900]
ENSRNOG00000016565	Zfp524	zinc finger protein 524 [Source:RGD Symbol;Acc:1565485]
ENSRNOG00000065362	Or5g27	olfactory receptor family 5 subfamily G member 27 [Source:RGD Symbol;Acc:1332940]
ENSRNOG00000061455	Or5b116b	olfactory receptor family 5 subfamily B member 116B [Source:RGD Symbol;Acc:1333250]
ENSRNOG00000009172	Cpvl	carboxypeptidase, vitellogenic-like [Source:RGD Symbol;Acc:1563609]
ENSRNOG00000000096	Pdzk1	PDZ domain containing 1 [Source:RGD Symbol;Acc:70924]
ENSRNOG00000014385	Wnt2b	Wnt family member 2B [Source:RGD Symbol;Acc:69346]
ENSRNOG00000019138	Clec11a	C-type lectin domain containing 11A [Source:RGD Symbol;Acc:3627]
ENSRNOG00000015424	Or51f2	olfactory receptor family 51 subfamily F member 2 [Source:RGD Symbol;Acc:1332773]
ENSRNOG00000011135	Gtf2b	general transcription factor IIB [Source:RGD Symbol;Acc:619735]
ENSRNOG00000013198	Or9q2	olfactory receptor family 9 subfamily Q member 2 [Source:RGD Symbol;Acc:1333595]
ENSRNOG00000056351	LOC120100209	U7 small nuclear RNA [Source:RGD Symbol;Acc:41039507]
ENSRNOG00000065052	LOC120100259	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41345916]
ENSRNOG00000035572	Mir125a	microRNA 125a [Source:RGD Symbol;Acc:2325387]
ENSRNOG00000022511	Tgap1	GTPase activating protein testicular GAP1 [Source:RGD Symbol;Acc:1359558]
ENSRNOG00000021695	Hyal6	hyaluronoglucosaminidase 6 [Source:RGD Symbol;Acc:1564219]
ENSRNOG00000069866	LOC120100411	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41313338]
ENSRNOG00000006731	Spc25	SPC25 component of NDC80 kinetochore complex [Source:RGD Symbol;Acc:1307811]
ENSRNOG00000065649	Zfp94	zinc finger protein 94 [Source:RGD Symbol;Acc:1560430]
ENSRNOG00000068275	LOC120100277	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41113286]
ENSRNOG00000053559	Or5b123b	olfactory receptor family 5 subfamily B member 123B [Source:RGD Symbol;Acc:1333477]
ENSRNOG00000067357	Or5g27b	olfactory receptor family 5 subfamily G member 27B [Source:RGD Symbol;Acc:1333598]
ENSRNOG00000035553	Mir202	microRNA 202 [Source:RGD Symbol;Acc:2325486]
ENSRNOG00000065021	Naaladl2	N-acetylated alpha-linked acidic dipeptidase-like 2 [Source:RGD Symbol;Acc:1565147]
ENSRNOG00000056667	LOC120100450	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41107959]
ENSRNOG00000064785	LOC120100409	U2 spliceosomal RNA [Source:RGD Symbol;Acc:40947517]
ENSRNOG00000050663	Or51h5	olfactory receptor family 51 subfamily H member 5 [Source:RGD Symbol;Acc:1591447]
ENSRNOG00000014753	Tcf7l1	transcription factor 7 like 1 [Source:RGD Symbol;Acc:1311671]
ENSRNOG00000064423	4930488N24Rikl	RIKEN cDNA 4930488N24 gene like [Source:RGD Symbol;Acc:1590175]
ENSRNOG00000016574	Fiz1	FLT3-interacting zinc finger 1 [Source:RGD Symbol;Acc:1306359]
ENSRNOG00000062826	Gm17651	predicted gene, 17651 [Source:RGD Symbol;Acc:150342749]
ENSRNOG00000055971	AABR07000544.1	NULL
ENSRNOG00000068157	LOC120100324	small nucleolar RNA SNORD116 [Source:RGD Symbol;Acc:41015411]
ENSRNOG00000032137	Foxb2	forkhead box B2 [Source:RGD Symbol;Acc:1585019]
ENSRNOG00000050364	Mir3569	microRNA 3569 [Source:RGD Symbol;Acc:4888591]
ENSRNOG00000060473	LOC120100368	small nucleolar RNA SNORA20 [Source:RGD Symbol;Acc:41188207]
ENSRNOG00000068108	LOC120100224	U7 small nuclear RNA [Source:RGD Symbol;Acc:40950017]
ENSRNOG00000055608	Zfp94l1	zinc finger protein 94 like 1 [Source:RGD Symbol;Acc:7529325]
ENSRNOG00000008282	Elf5	E74 like ETS transcription factor 5 [Source:RGD Symbol;Acc:1305859]
ENSRNOG00000048436	Or51t1	olfactory receptor, family 51, subfamily T, member 1 [Source:RGD Symbol;Acc:1563481]
ENSRNOG00000013641	Myo7a	myosin VIIA [Source:RGD Symbol;Acc:628830]
ENSRNOG00000020347	Nup98	nucleoporin 98 and 96 precursor [Source:RGD Symbol;Acc:71033]
ENSRNOG00000052014	Or5t7	olfactory receptor family 5 subfamily T member 7 [Source:RGD Symbol;Acc:1333222]
ENSRNOG00000011052	Gars1	glycyl-tRNA synthetase 1 [Source:RGD Symbol;Acc:1307856]
ENSRNOG00000035588	Mir194-2	microRNA 194-2 [Source:RGD Symbol;Acc:2325554]
ENSRNOG00000053464	LOC120100418	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41186776]
ENSRNOG00000016837	Ckm	creatine kinase, M-type [Source:RGD Symbol;Acc:2358]
ENSRNOG00000069139	LOC120100250	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41113608]
ENSRNOG00000068222	LOC100910657	sperm motility kinase Y-like [Source:RGD Symbol;Acc:6497368]
ENSRNOG00000025953	Spmip5	sperm microtubule inner protein 5 [Source:RGD Symbol;Acc:1584737]
ENSRNOG00000009792	Zbbx	zinc finger, B-box domain containing [Source:RGD Symbol;Acc:1308632]
ENSRNOG00000011758	Fkbp7	FKBP prolyl isomerase 7 [Source:RGD Symbol;Acc:1305293]
ENSRNOG00000052367	AABR07009634.1	NULL
ENSRNOG00000061525	Mrgprgl1	MAS related GPR family member G like 1 [Source:RGD Symbol;Acc:1562011]
ENSRNOG00000046704	Mir3099	microRNA 3099 [Source:RGD Symbol;Acc:7489040]
ENSRNOG00000034083	Or51a7	olfactory receptor family 51 subfamily A member 7 [Source:RGD Symbol;Acc:1334397]
ENSRNOG00000057516	Rnu6-806	RNA, U6 small nuclear 806 [Source:RGD Symbol;Acc:41391465]
ENSRNOG00000053512	LOC120100487	small nucleolar RNA U109 [Source:RGD Symbol;Acc:41346008]
ENSRNOG00000015821	Cd2	Cd2 molecule [Source:RGD Symbol;Acc:2297]
ENSRNOG00000016608	Zfp579	zinc finger protein 579 [Source:RGD Symbol;Acc:1308475]
ENSRNOG00000027112	4930433I11Rikl	RIKEN cDNA 4930433I11 gene like [Source:RGD Symbol;Acc:1561885]
ENSRNOG00000069192	LOC120100248	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41317864]
ENSRNOG00000004679	Fign	fidgetin, microtubule severing factor [Source:RGD Symbol;Acc:1308174]
ENSRNOG00000012730	Lrrk1	leucine-rich repeat kinase 1 [Source:RGD Symbol;Acc:1308000]
ENSRNOG00000052903	AABR07009634.2	NULL
ENSRNOG00000052937	LOC120100460	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41219068]
ENSRNOG00000037833	Or10ag59b	olfactory receptor family 10 subfamily AG member 59B [Source:RGD Symbol;Acc:1332777]
ENSRNOG00000018117	Ndufv1	NADH:ubiquinone oxidoreductase core subunit V1 [Source:RGD Symbol;Acc:1359247]
ENSRNOG00000049017	Mir6316	microRNA 6316 [Source:RGD Symbol;Acc:7489025]
ENSRNOG00000051561	LOC120100354	small nucleolar RNA SNORA36 family [Source:RGD Symbol;Acc:41171707]
ENSRNOG00000067136	LOC120100284	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41297869]
ENSRNOG00000063952	Or10w1	olfactory receptor family 10 subfamily W member 1 [Source:RGD Symbol;Acc:1333289]
